task_id,source_task_id,machine_type,machine_model,task_type,operator_skill_level,operator_experience_years,material_type,material_density,target_quantity,terrain_type,terrain_slope_percent,soil_moisture,weather_condition,temperature_c,rainfall_mm,visibility_m,distance_m,machine_age_years,idle_ratio,average_engine_load,average_rpm,estimated_duration_min,actual_duration_min
TH00562,T00562,DOZER,DZ-986D2,Road Preparation,INTERMEDIATE,3.9,ASPHALT_MILLINGS,1.4,970.6,FLAT,2.7,7.2,CLOUDY,22.3,0.0,7301.0,323.0,13.6,0.183,35.0,1738.0,71.7,76.9
TH00563,T00563,MOTOR_GRADER,MG-160D,Road Preparation,BEGINNER,0.8,ASPHALT_MILLINGS,1.4,1864.8,UNEVEN,0.0,6.3,SUNNY,23.9,0.0,8582.0,1292.0,7.7,0.215,37.1,1441.0,184.6,172.4
TH00564,,WHEEL_LOADER,WL-986,Material Loading,BEGINNER,1.0,CLAY,1.6,1932.4,MOUNTAINOUS,17.5,56.0,STORM,18.3,22.4,79.0,2198.0,11.8,0.247,62.7,1574.0,626.7,2365.7
TH00565,T00565,EXCAVATOR,EX-972XE,Trenching,EXPERT,18.2,ASPHALT_MILLINGS,1.4,381.0,FLAT,0.4,10.7,SUNNY,34.3,0.0,9286.0,1387.0,3.7,0.202,46.0,1822.0,184.2,197.7
TH00566,,MOTOR_GRADER,MG-986D2,Road Preparation,INTERMEDIATE,7.6,SAND,1.5,1455.8,HILLY,9.6,8.5,SUNNY,29.9,0.0,7113.0,3174.0,11.1,0.137,53.0,2011.0,105.6,123.0
TH00567,T00567,WHEEL_LOADER,WL-336,Road Preparation,EXPERT,15.9,ROCK_FILL,2.2,4878.2,ROLLING,8.1,3.0,SUNNY,23.6,0.0,8948.0,656.0,7.7,0.084,60.0,1690.0,580.5,600.5
TH00568,T00568,COMPACTOR,CP-972D2,Soil Compaction,BEGINNER,0.8,SAND,1.5,1855.9,MOUNTAINOUS,26.2,6.1,SUNNY,15.6,0.0,5598.0,574.0,4.2,0.189,88.7,1463.0,92.6,128.6
TH00569,,BACKHOE_LOADER,BL-986D,Trenching,INTERMEDIATE,7.7,GRAVEL,1.8,142.5,FLAT,2.1,78.6,STORM,20.3,27.0,240.0,1270.0,12.0,0.174,57.0,2058.0,79.5,306.9
TH00570,,COMPACTOR,CP-972D2,Soil Compaction,EXPERT,15.9,CRUSHED_STONE,1.7,2263.4,MOUNTAINOUS,24.7,13.1,SUNNY,15.9,0.0,5900.0,2773.0,4.2,0.224,74.2,1637.0,72.3,113.4
TH00571,T00571,COMPACTOR,CP-950,Earth Excavation,BEGINNER,0.6,ASPHALT_MILLINGS,1.4,1125.2,ROLLING,5.5,10.7,SUNNY,,0.0,7403.0,973.0,3.4,0.184,,1095.0,930.7,988.4
TH00572,T00572,BACKHOE_LOADER,BL-390D2,Grading,BEGINNER,2.3,GRAVEL,1.8,1319.0,UNEVEN,2.8,13.9,CLOUDY,,0.0,9615.0,442.0,4.2,0.156,52.3,1224.0,148.9,156.8
TH00573,,MOTOR_GRADER,MG-336GC,Road Preparation,INTERMEDIATE,7.1,CLAY,1.6,2299.0,FLAT,7.3,16.3,CLOUDY,23.0,0.0,7935.0,1985.0,10.0,0.251,63.5,1446.0,168.6,222.6
TH00574,T00574,ARTICULATED_HAULER,AH-140D2,Grading,INTERMEDIATE,5.1,CLAY,1.6,3885.7,ROLLING,5.5,19.8,SUNNY,28.8,0.0,5372.0,758.0,7.4,0.186,63.9,1785.0,397.3,487.6
TH00575,T00575,COMPACTOR,CP-950,Road Preparation,INTERMEDIATE,7.0,GRAVEL,1.8,1486.7,ROLLING,5.5,13.6,CLOUDY,17.7,0.0,4135.0,199.0,3.4,0.178,55.8,1570.0,104.7,102.3
TH00576,,BACKHOE_LOADER,BL-986GC,Trenching,EXPERT,20.5,CRUSHED_STONE,1.7,126.9,ROLLING,10.7,8.3,CLOUDY,29.3,0.0,8741.0,2374.0,10.6,0.142,,1634.0,65.5,80.3
TH00577,T00577,EXCAVATOR,EX-336XE,Demolition,BEGINNER,0.8,CLAY,1.6,247.4,UNEVEN,2.8,15.8,SUNNY,26.3,0.0,6273.0,1359.0,4.7,0.239,65.5,1264.0,131.5,142.0
TH00578,,EXCAVATOR,EX-950D2,Earth Excavation,BEGINNER,0.5,GRAVEL,1.8,1017.4,HILLY,16.5,11.9,SUNNY,22.5,0.0,9145.0,3187.0,3.2,0.16,79.1,1278.0,387.5,464.8
TH00579,,BACKHOE_LOADER,BL-986D,Trenching,BEGINNER,1.6,TOPSOIL,1.3,160.7,FLAT,11.0,6.6,SUNNY,41.3,0.0,8622.0,2606.0,12.0,0.206,62.3,1763.0,120.6,162.1
TH00580,,DOZER,DZ-972,Road Preparation,EXPERT,17.3,GRAVEL,1.8,5805.0,UNEVEN,0.4,12.1,CLOUDY,13.3,0.0,7518.0,1471.0,2.3,0.168,74.9,1276.0,348.4,396.5
TH00581,,WHEEL_LOADER,WL-140XE,Material Stockpiling,INTERMEDIATE,7.7,CRUSHED_STONE,1.7,2445.0,UNEVEN,0.0,11.5,RAINY,16.3,2.3,1888.0,2230.0,8.1,0.129,66.0,1391.0,525.5,1078.7
TH00582,T00582,MOTOR_GRADER,MG-220D2,Grading,INTERMEDIATE,6.3,ASPHALT_MILLINGS,1.4,1603.6,UNEVEN,0.8,8.2,SUNNY,18.1,0.0,8328.0,201.0,1.2,0.337,65.7,1152.0,76.4,85.2
TH00583,,WHEEL_LOADER,WL-986,Material Stockpiling,INTERMEDIATE,7.7,ASPHALT_MILLINGS,1.4,1866.5,MOUNTAINOUS,17.5,4.3,SUNNY,23.1,0.0,7598.0,2758.0,11.8,0.01,49.0,1131.0,381.7,655.0
TH00584,,WHEEL_LOADER,WL-986,Material Loading,INTERMEDIATE,2.7,ROCK_FILL,2.2,2322.2,MOUNTAINOUS,18.6,21.8,RAINY,30.6,9.5,338.0,2402.0,11.8,0.145,19.8,1734.0,574.4,1295.7
TH00585,T00585,BACKHOE_LOADER,BL-986D,Trenching,INTERMEDIATE,6.8,GRAVEL,1.8,394.7,FLAT,3.0,14.2,SUNNY,28.2,0.0,9098.0,2171.0,12.0,0.01,48.9,1586.0,222.3,209.0
TH00586,T00586,MOTOR_GRADER,MG-390D2,Grading,EXPERT,18.2,CRUSHED_STONE,1.7,1888.1,FLAT,3.0,8.8,SUNNY,15.8,0.0,4671.0,859.0,8.3,0.105,60.3,1764.0,75.8,84.6
TH00587,,ARTICULATED_HAULER,AH-336,Hauling,INTERMEDIATE,5.5,ASPHALT_MILLINGS,1.4,567.3,UNEVEN,8.3,3.0,SUNNY,26.5,0.0,6722.0,1803.0,8.5,0.137,64.1,1740.0,188.0,260.9
TH00588,,EXCAVATOR,EX-972XE,Earth Excavation,EXPERT,7.3,CLAY,1.6,182.9,FLAT,2.0,23.2,WINDY,29.9,0.0,5949.0,1716.0,3.7,0.042,84.7,2239.0,44.7,44.5
TH00589,,ARTICULATED_HAULER,AH-140D2,Hauling,INTERMEDIATE,2.1,ASPHALT_MILLINGS,1.4,1256.8,ROLLING,8.8,35.4,RAINY,26.8,3.4,1276.0,3014.0,7.4,0.132,59.7,1695.0,455.3,1281.6
TH00590,T00590,MOTOR_GRADER,MG-220D2,Grading,EXPERT,23.4,ASPHALT_MILLINGS,1.4,2848.6,UNEVEN,0.8,38.3,RAINY,25.6,10.0,1840.0,400.0,1.2,0.083,61.9,1279.0,113.6,142.0
TH00591,,WHEEL_LOADER,WL-140XE,Earth Excavation,EXPERT,22.8,CLAY,1.6,1012.5,UNEVEN,0.0,25.1,CLOUDY,24.1,0.0,4748.0,3173.0,8.1,0.042,77.0,1715.0,479.5,503.6
TH00592,,WHEEL_LOADER,WL-336,Material Stockpiling,EXPERT,23.6,CLAY,1.6,334.9,ROLLING,7.8,17.9,WINDY,14.4,0.0,8751.0,1204.0,7.7,0.137,41.8,1421.0,61.3,82.8
TH00593,,DOZER,DZ-160GC,Material Stockpiling,INTERMEDIATE,2.1,GRAVEL,1.8,1821.6,MOUNTAINOUS,22.8,76.3,STORM,7.7,31.8,322.0,1913.0,14.4,0.192,,1624.0,406.6,2255.5
TH00594,,COMPACTOR,CP-986D2,Soil Compaction,INTERMEDIATE,6.8,TOPSOIL,1.3,1933.2,ROLLING,5.6,6.3,CLOUDY,19.1,0.0,8115.0,3117.0,8.3,0.023,41.7,1837.0,71.3,71.2
TH00595,,DOZER,DZ-986GC,Earth Excavation,EXPERT,17.3,ASPHALT_MILLINGS,1.4,377.9,FLAT,5.2,32.5,RAINY,21.0,13.4,840.0,569.0,12.0,0.233,84.9,1278.0,158.0,305.9
TH00596,T00596,EXCAVATOR,EX-972XE,Material Stockpiling,BEGINNER,0.5,ASPHALT_MILLINGS,1.4,1657.5,FLAT,0.4,15.0,FOG,26.4,0.1,171.0,1806.0,3.7,0.275,44.9,1293.0,937.4,1836.0
TH00597,T00597,ARTICULATED_HAULER,AH-226D,Grading,BEGINNER,1.5,ASPHALT_MILLINGS,1.4,2005.1,ROLLING,8.1,12.7,WINDY,23.1,0.0,7898.0,3216.0,2.4,0.173,31.6,978.0,206.7,266.7
TH00598,T00598,DOZER,DZ-349D,Road Preparation,INTERMEDIATE,4.6,CLAY,1.6,1516.2,ROLLING,6.7,15.9,SUNNY,17.4,0.0,9458.0,3057.0,10.1,0.182,48.5,1586.0,113.4,130.1
TH00599,T00599,ARTICULATED_HAULER,AH-226D,Hauling,EXPERT,19.9,CLAY,1.6,875.0,ROLLING,8.1,15.9,CLOUDY,17.5,0.0,6518.0,2556.0,2.4,0.182,64.7,1715.0,253.6,404.1
TH00600,,WHEEL_LOADER,WL-972XE,Material Stockpiling,INTERMEDIATE,7.6,ASPHALT_MILLINGS,1.4,1735.1,FLAT,2.0,23.7,SUNNY,26.6,0.0,5319.0,1419.0,14.4,0.143,42.0,1713.0,373.3,522.6
TH00601,,ARTICULATED_HAULER,AH-226D,Hauling,INTERMEDIATE,2.1,CLAY,1.6,917.8,ROLLING,11.5,12.8,CLOUDY,20.3,0.0,7311.0,1579.0,2.4,0.226,69.9,1982.0,323.6,471.7
TH00602,T00602,DOZER,DZ-160GC,Demolition,EXPERT,22.8,TOPSOIL,1.3,1036.7,MOUNTAINOUS,18.7,18.3,CLOUDY,28.6,0.0,7648.0,2748.0,14.4,0.062,56.0,1719.0,367.5,454.6
TH00603,,DOZER,DZ-950D,Grading,INTERMEDIATE,2.6,CLAY,1.6,2858.0,MOUNTAINOUS,9.6,8.5,WINDY,19.9,0.0,8347.0,2169.0,1.6,0.148,47.4,1642.0,319.4,409.0
TH00604,T00604,ARTICULATED_HAULER,AH-226D,Hauling,BEGINNER,2.0,GRAVEL,1.8,1689.4,ROLLING,8.1,33.4,STORM,10.3,26.9,328.0,180.0,2.4,0.157,20.6,2144.0,755.1,2024.3
TH00605,,DOZER,DZ-160GC,Hauling,BEGINNER,2.3,ASPHALT_MILLINGS,1.4,2202.9,MOUNTAINOUS,18.0,18.2,RAINY,34.5,9.5,1354.0,1252.0,14.4,0.186,77.7,1787.0,1963.0,4376.4
TH00606,,BACKHOE_LOADER,BL-220GC,Earth Excavation,INTERMEDIATE,6.8,ROCK_FILL,2.2,486.6,UNEVEN,0.0,13.6,FOG,10.2,0.1,179.0,461.0,3.0,0.078,73.9,2062.0,254.5,398.0
TH00607,T00607,EXCAVATOR,EX-226XE,Trenching,INTERMEDIATE,7.6,ROCK_FILL,2.2,124.1,FLAT,0.4,13.3,CLOUDY,38.6,0.0,7496.0,1000.0,13.8,0.01,75.8,1597.0,71.2,69.0
TH00608,,DOZER,DZ-160GC,Road Preparation,EXPERT,17.3,SAND,1.5,950.6,MOUNTAINOUS,22.0,3.6,CLOUDY,19.2,0.0,6615.0,2466.0,14.4,0.243,,1389.0,57.3,90.6
TH00609,T00609,ARTICULATED_HAULER,AH-336,Soil Compaction,INTERMEDIATE,3.0,TOPSOIL,1.3,817.6,UNEVEN,0.8,9.4,WINDY,22.1,0.0,4718.0,2845.0,8.5,0.182,46.6,1333.0,63.7,82.9
TH00610,,ARTICULATED_HAULER,AH-349D,Hauling,EXPERT,14.9,ROCK_FILL,2.2,501.5,ROLLING,6.0,10.9,SUNNY,39.8,0.0,8018.0,1440.0,0.8,0.066,30.3,1151.0,143.7,184.8
TH00611,,MOTOR_GRADER,MG-986D2,Grading,EXPERT,22.8,CLAY,1.6,5014.9,HILLY,11.2,17.8,FOG,16.7,0.1,64.0,1827.0,11.1,0.01,83.3,1805.0,202.0,300.4
TH00612,,DOZER,DZ-950D,Material Stockpiling,INTERMEDIATE,7.1,ROCK_FILL,2.2,1516.1,MOUNTAINOUS,10.3,20.7,RAINY,28.6,4.3,489.0,275.0,1.6,0.172,32.7,1668.0,317.8,560.6
TH00613,,EXCAVATOR,EX-950D2,Earth Excavation,INTERMEDIATE,7.7,CLAY,1.6,1207.6,HILLY,15.1,26.9,SUNNY,17.3,0.0,5223.0,906.0,3.2,0.01,68.9,1171.0,361.8,406.5
TH00614,,DOZER,DZ-349D,Demolition,INTERMEDIATE,4.4,SAND,1.5,198.2,ROLLING,6.9,37.8,RAINY,24.7,9.2,1988.0,697.0,10.1,0.21,71.8,1191.0,79.2,123.5
TH00615,,EXCAVATOR,EX-226D2,Trenching,EXPERT,12.7,GRAVEL,1.8,140.7,MOUNTAINOUS,19.0,14.2,WINDY,20.3,0.0,8680.0,2681.0,1.1,0.015,70.7,1369.0,71.2,85.9
TH00616,,DOZER,DZ-986D2,Demolition,INTERMEDIATE,5.5,SAND,1.5,432.9,FLAT,0.0,30.3,RAINY,15.9,8.6,1884.0,237.0,13.6,0.24,71.7,1356.0,175.2,279.1
TH00617,T00617,WHEEL_LOADER,WL-390,Material Stockpiling,EXPERT,12.7,CRUSHED_STONE,1.7,275.8,UNEVEN,0.2,15.4,SUNNY,20.4,0.0,7524.0,1622.0,9.6,0.01,27.8,1484.0,48.8,54.3
TH00618,,ARTICULATED_HAULER,AH-120D2,Hauling,BEGINNER,1.4,ASPHALT_MILLINGS,1.4,1019.0,UNEVEN,3.6,3.0,CLOUDY,21.4,0.0,3610.0,3334.0,2.8,0.193,51.2,1669.0,473.2,739.9
TH00619,,EXCAVATOR,EX-972XE,Grading,BEGINNER,0.5,GRAVEL,1.8,2895.1,FLAT,1.2,7.5,CLOUDY,26.2,0.0,5295.0,645.0,3.7,0.256,70.6,1330.0,333.6,424.4
TH00620,,ARTICULATED_HAULER,AH-226D,Hauling,EXPERT,19.9,TOPSOIL,1.3,1893.6,ROLLING,19.4,4.6,SUNNY,28.2,0.0,8998.0,2912.0,2.4,0.066,78.8,1761.0,575.2,1022.4
TH00621,T00621,COMPACTOR,CP-950,Road Preparation,EXPERT,14.9,CRUSHED_STONE,1.7,1582.5,ROLLING,5.5,12.0,CLOUDY,25.2,0.0,9163.0,466.0,3.4,0.089,77.8,1751.0,95.6,108.8
TH00622,,EXCAVATOR,EX-972,Material Loading,INTERMEDIATE,7.7,ASPHALT_MILLINGS,1.4,1611.5,UNEVEN,0.0,3.0,WINDY,23.2,0.0,6228.0,824.0,7.8,0.01,55.3,1830.0,366.4,369.4
TH00623,T00623,MOTOR_GRADER,MG-390D2,Road Preparation,INTERMEDIATE,6.7,TOPSOIL,1.3,770.3,FLAT,3.0,10.2,SUNNY,28.8,0.0,8090.0,1918.0,8.3,0.056,43.0,1769.0,55.8,59.9
TH00624,,COMPACTOR,CP-972D2,Road Preparation,BEGINNER,0.6,GRAVEL,1.8,2062.8,MOUNTAINOUS,32.0,16.1,SUNNY,16.6,0.0,7548.0,3153.0,4.2,0.347,85.5,1615.0,206.8,367.5
TH00625,T00625,EXCAVATOR,EX-226D2,Material Loading,EXPERT,7.3,TOPSOIL,1.3,1996.4,MOUNTAINOUS,18.7,9.2,CLOUDY,30.9,0.0,6169.0,2776.0,1.1,0.049,53.3,2320.0,406.6,514.8
TH00626,,DOZER,DZ-349D,Road Preparation,BEGINNER,0.8,SAND,1.5,3465.2,ROLLING,0.0,32.2,RAINY,,6.7,1084.0,2809.0,10.1,0.192,,1590.0,329.6,583.7
TH00627,T00627,WHEEL_LOADER,WL-390D2,Material Stockpiling,EXPERT,19.9,CRUSHED_STONE,1.7,1961.7,ROLLING,8.1,12.7,CLOUDY,19.7,0.0,8995.0,3415.0,14.3,0.109,71.0,1476.0,361.0,719.7
TH00628,,MOTOR_GRADER,MG-986D2,Road Preparation,EXPERT,23.4,ROCK_FILL,2.2,5796.4,HILLY,14.6,6.8,SUNNY,20.5,0.0,5265.0,2096.0,11.1,0.16,43.2,1487.0,359.2,541.8
TH00629,T00629,WHEEL_LOADER,WL-336,Material Stockpiling,BEGINNER,0.8,CRUSHED_STONE,1.7,269.7,ROLLING,8.1,13.2,CLOUDY,22.6,0.0,9349.0,1034.0,7.7,0.165,53.6,1839.0,78.3,101.8
TH00630,,MOTOR_GRADER,MG-390D2,Soil Compaction,BEGINNER,1.8,CRUSHED_STONE,1.7,483.3,FLAT,3.9,9.5,SUNNY,23.6,0.0,5076.0,143.0,8.3,0.232,54.2,2400.0,36.2,41.0
TH00631,,EXCAVATOR,EX-336XE,Earth Excavation,INTERMEDIATE,5.0,ASPHALT_MILLINGS,1.4,1316.2,UNEVEN,5.2,3.7,CLOUDY,32.6,0.0,5545.0,1017.0,4.7,0.073,68.8,1716.0,386.0,407.2
TH00632,,EXCAVATOR,EX-972XE,Earth Excavation,BEGINNER,2.3,GRAVEL,1.8,594.9,FLAT,0.0,7.8,SUNNY,13.9,0.0,5613.0,2968.0,3.7,0.01,63.4,1668.0,212.7,192.8
TH00633,T00633,MOTOR_GRADER,MG-986D2,Road Preparation,INTERMEDIATE,6.8,CLAY,1.6,336.9,HILLY,12.2,27.3,RAINY,25.3,10.2,1791.0,2074.0,11.1,0.051,42.9,1675.0,25.1,37.3
TH00634,,ARTICULATED_HAULER,AH-349D,Hauling,BEGINNER,1.5,CRUSHED_STONE,1.7,670.3,ROLLING,9.8,16.9,SUNNY,25.6,0.0,,1331.0,0.8,0.379,47.5,1471.0,311.6,442.6
TH00635,,DOZER,DZ-950D,Road Preparation,EXPERT,22.8,GRAVEL,1.8,1586.0,MOUNTAINOUS,11.2,24.4,WINDY,27.1,0.0,5398.0,1186.0,1.6,0.01,37.5,1642.0,95.9,97.4
TH00636,T00636,MOTOR_GRADER,MG-986XE,Material Stockpiling,INTERMEDIATE,2.1,ASPHALT_MILLINGS,1.4,2027.8,FLAT,0.4,9.7,CLOUDY,13.0,0.0,5388.0,1185.0,12.4,0.118,77.7,2247.0,862.3,1108.2
TH00637,T00637,WHEEL_LOADER,WL-390D2,Material Loading,BEGINNER,2.3,SAND,1.5,1389.9,ROLLING,8.1,3.4,CLOUDY,,0.0,8971.0,2377.0,14.3,0.211,72.2,1744.0,414.4,462.9
TH00638,,DOZER,DZ-950D,Road Preparation,INTERMEDIATE,3.9,GRAVEL,1.8,2586.5,MOUNTAINOUS,14.7,15.8,WINDY,19.0,0.0,,138.0,1.6,0.073,22.4,1961.0,195.7,242.7
TH00639,,MOTOR_GRADER,MG-986XE,Road Preparation,INTERMEDIATE,2.7,ROCK_FILL,2.2,4396.7,FLAT,5.0,17.7,CLOUDY,35.8,0.0,3735.0,129.0,12.4,0.084,44.9,1769.0,343.8,411.1
TH00640,,BACKHOE_LOADER,BL-220GC,Trenching,BEGINNER,1.0,GRAVEL,1.8,569.3,UNEVEN,0.0,5.4,SUNNY,24.7,0.0,7628.0,2456.0,3.0,0.174,44.5,1279.0,427.4,445.6
TH00641,,COMPACTOR,CP-986D2,Road Preparation,INTERMEDIATE,6.4,ROCK_FILL,2.2,1381.3,ROLLING,10.7,45.3,RAINY,32.1,14.9,946.0,457.0,8.3,0.109,61.1,786.0,100.9,201.8
TH00642,,MOTOR_GRADER,MG-986XE,Earth Excavation,BEGINNER,1.6,CLAY,1.6,1378.1,FLAT,0.2,24.0,RAINY,36.5,3.3,1678.0,2747.0,12.4,0.252,53.1,1581.0,1038.4,1625.5
TH00643,,DOZER,DZ-986D2,Hauling,INTERMEDIATE,3.0,CLAY,1.6,1259.1,FLAT,0.3,11.4,RAINY,23.6,1.5,1746.0,2374.0,13.6,0.147,55.7,1240.0,867.3,1851.5
TH00644,T00644,MOTOR_GRADER,MG-986D2,Earth Excavation,BEGINNER,2.3,TOPSOIL,1.3,988.7,HILLY,12.2,6.1,WINDY,12.3,0.0,8563.0,3380.0,11.1,0.245,98.5,1450.0,642.2,1041.8
TH00645,,MOTOR_GRADER,MG-220D2,Demolition,BEGINNER,2.0,ROCK_FILL,2.2,611.8,UNEVEN,0.0,3.0,SUNNY,17.2,0.0,7856.0,2112.0,1.2,0.14,66.2,1949.0,527.3,492.9
TH00646,,WHEEL_LOADER,WL-390,Grading,EXPERT,12.7,CRUSHED_STONE,1.7,5409.7,UNEVEN,5.1,4.0,CLOUDY,31.5,0.0,3567.0,253.0,9.6,0.01,59.4,1430.0,399.8,484.1
TH00647,T00647,WHEEL_LOADER,WL-972XE,Material Stockpiling,EXPERT,22.8,TOPSOIL,1.3,1040.1,FLAT,0.7,9.3,CLOUDY,24.3,0.0,8015.0,930.0,14.4,0.059,21.9,1478.0,182.7,180.6
TH00648,T00648,EXCAVATOR,EX-226D2,Trenching,EXPERT,14.9,CLAY,1.6,464.6,MOUNTAINOUS,18.7,20.1,SUNNY,27.3,0.0,9549.0,2047.0,1.1,0.072,87.7,1324.0,226.4,295.2
TH00649,,EXCAVATOR,EX-390D2,Road Preparation,EXPERT,17.3,ROCK_FILL,2.2,5053.3,FLAT,1.2,42.7,STORM,19.4,17.7,178.0,1542.0,14.3,0.191,32.9,1406.0,504.4,1741.5
TH00650,,MOTOR_GRADER,MG-986D2,Road Preparation,BEGINNER,2.0,ROCK_FILL,2.2,4726.9,HILLY,11.7,7.6,CLOUDY,35.0,0.0,7991.0,2232.0,11.1,0.206,54.6,1595.0,428.7,620.8
TH00651,,BACKHOE_LOADER,BL-986GC,Trenching,INTERMEDIATE,3.0,CRUSHED_STONE,1.7,300.5,ROLLING,1.7,7.7,SUNNY,,0.0,,1544.0,10.6,0.182,91.6,1627.0,178.7,206.1
TH00652,,DOZER,DZ-349D,Demolition,EXPERT,19.9,SAND,1.5,909.6,ROLLING,7.5,47.4,STORM,23.4,17.3,308.0,3169.0,10.1,0.164,64.6,1211.0,303.1,945.3
TH00653,,DOZER,DZ-160GC,Demolition,INTERMEDIATE,7.1,ROCK_FILL,2.2,1251.0,MOUNTAINOUS,15.9,3.0,SUNNY,18.8,0.0,6534.0,2250.0,14.4,0.171,61.1,1286.0,504.3,775.1
TH00654,T00654,EXCAVATOR,EX-972,Demolition,INTERMEDIATE,5.5,GRAVEL,1.8,976.2,UNEVEN,0.2,46.5,RAINY,27.4,12.0,842.0,2754.0,7.8,0.051,95.3,2172.0,379.9,512.9
TH00655,,WHEEL_LOADER,WL-390D2,Material Stockpiling,INTERMEDIATE,7.7,SAND,1.5,708.5,ROLLING,8.3,3.0,CLOUDY,28.5,0.0,8411.0,3180.0,14.3,0.01,60.7,1853.0,150.8,274.9
TH00656,,BACKHOE_LOADER,BL-220GC,Trenching,INTERMEDIATE,2.6,CRUSHED_STONE,1.7,280.2,UNEVEN,0.6,17.7,FOG,31.6,0.2,260.0,3053.0,3.0,0.209,79.6,1813.0,174.5,269.4
TH00657,T00657,BACKHOE_LOADER,BL-390,Trenching,EXPERT,20.5,ASPHALT_MILLINGS,1.4,383.8,FLAT,2.7,12.0,FOG,31.8,0.5,63.0,629.0,10.5,0.137,38.4,1532.0,191.6,323.8
TH00658,T00658,MOTOR_GRADER,MG-160D,Road Preparation,INTERMEDIATE,7.7,CLAY,1.6,5865.0,UNEVEN,0.0,12.4,WINDY,18.6,0.0,3654.0,647.0,7.7,0.137,49.5,2004.0,415.8,371.8
TH00659,,BACKHOE_LOADER,BL-390D2,Trenching,INTERMEDIATE,7.6,SAND,1.5,130.7,UNEVEN,7.5,3.9,SUNNY,31.4,0.0,,3045.0,4.2,0.134,26.1,1700.0,73.7,84.3
TH00660,,EXCAVATOR,EX-972XE,Trenching,INTERMEDIATE,7.6,GRAVEL,1.8,552.2,FLAT,3.2,7.3,SUNNY,10.0,0.0,7558.0,618.0,3.7,0.104,60.2,1465.0,322.9,227.8
TH00661,,BACKHOE_LOADER,BL-220GC,Trenching,EXPERT,18.2,CRUSHED_STONE,1.7,377.3,UNEVEN,0.0,18.5,FOG,38.4,0.2,151.0,1088.0,3.0,0.229,48.8,1792.0,182.3,280.1
TH00662,,COMPACTOR,CP-972D2,Road Preparation,INTERMEDIATE,5.8,TOPSOIL,1.3,1339.2,MOUNTAINOUS,28.0,57.2,STORM,24.3,24.1,360.0,3025.0,4.2,0.163,74.5,1574.0,98.1,356.7
TH00663,T00663,DOZER,DZ-986GC,Material Loading,INTERMEDIATE,7.6,TOPSOIL,1.3,2458.0,FLAT,0.7,17.8,WINDY,16.2,0.0,5707.0,634.0,12.0,0.068,65.2,1989.0,920.3,989.5
TH00664,T00664,BACKHOE_LOADER,BL-220GC,Trenching,INTERMEDIATE,6.3,CRUSHED_STONE,1.7,410.8,UNEVEN,0.0,6.5,FOG,22.6,0.4,207.0,1510.0,3.0,0.217,47.8,1657.0,243.5,371.4
TH00665,T00665,WHEEL_LOADER,WL-972XE,Material Loading,BEGINNER,0.6,ROCK_FILL,2.2,891.6,FLAT,0.7,13.1,CLOUDY,28.2,0.0,9504.0,2552.0,14.4,0.158,49.1,1944.0,279.5,408.7
TH00666,,DOZER,DZ-950D,Road Preparation,INTERMEDIATE,7.7,GRAVEL,1.8,1556.6,MOUNTAINOUS,7.2,11.7,CLOUDY,16.4,0.0,7890.0,471.0,1.6,0.058,24.5,1753.0,113.9,125.7
TH00667,T00667,DOZER,DZ-972,Material Stockpiling,INTERMEDIATE,7.6,ASPHALT_MILLINGS,1.4,138.5,UNEVEN,0.8,7.2,CLOUDY,19.4,0.0,7523.0,2360.0,2.3,0.165,76.7,1983.0,30.1,40.7
TH00668,T00668,COMPACTOR,CP-986D2,Soil Compaction,BEGINNER,0.6,SAND,1.5,1831.3,ROLLING,6.7,23.2,RAINY,14.4,2.9,1931.0,1227.0,8.3,0.22,50.9,1352.0,90.8,152.5
TH00669,T00669,DOZER,DZ-986D2,Material Stockpiling,EXPERT,17.3,SAND,1.5,1606.5,FLAT,2.7,13.2,CLOUDY,31.8,0.0,9582.0,1738.0,13.6,0.146,37.1,1912.0,293.7,375.2
TH00670,,BACKHOE_LOADER,BL-390,Trenching,EXPERT,19.9,ROCK_FILL,2.2,102.3,FLAT,10.4,19.0,CLOUDY,18.4,0.0,4241.0,2200.0,10.5,0.137,64.6,1414.0,49.7,68.1
TH00671,T00671,WHEEL_LOADER,WL-986,Material Loading,EXPERT,22.8,ASPHALT_MILLINGS,1.4,1152.4,MOUNTAINOUS,18.7,10.8,RAINY,21.3,3.6,446.0,955.0,11.8,0.01,57.9,2023.0,235.1,426.7
TH00672,,EXCAVATOR,EX-972XE,Trenching,BEGINNER,0.6,GRAVEL,1.8,569.0,FLAT,3.6,9.6,SUNNY,30.7,0.0,8721.0,1141.0,3.7,0.243,54.9,1910.0,435.6,544.4
TH00673,T00673,DOZER,DZ-986D2,Material Stockpiling,INTERMEDIATE,5.5,CRUSHED_STONE,1.7,1810.6,FLAT,2.7,8.6,SUNNY,9.7,0.0,7142.0,2510.0,13.6,0.05,61.6,1361.0,394.3,583.1
TH00674,,WHEEL_LOADER,WL-986,Material Stockpiling,INTERMEDIATE,7.7,CLAY,1.6,1940.0,MOUNTAINOUS,14.6,11.9,CLOUDY,23.6,0.0,3812.0,105.0,11.8,0.092,85.7,1619.0,414.8,483.7
